"Reference","Qty","Value","Purchase Link","Cost","Cost (qty10)","RoHS Compliant"
"C1,C17,C21,C25","4","220 nF, 0603","https://www.digikey.com/en/products/detail/murata-electronics/GRM188R71H224KAC4D/5797498","$0.14","$0.078","YES"
"C2,C6,C7,C15,C16,C18,C23,C30,C31,C32,C33","11","100 nF, 0603","https://www.digikey.com/en/products/detail/murata-electronics/GRM188R72A104KA35D/702549","$0.15","$0.087","YES"
"C3,C4,C19,C20,C22,C24","6","1 uF, 0805","https://www.digikey.com/en/products/detail/murata-electronics/GRT21BR71H105KE01L/10702345","$0.21","$0.121","YES"
"C9","1","2 nF, 1%","https://www.digikey.com/en/products/detail/murata-electronics/GCM1885C1H202FA16D/16033535","$0.17","$0.096","YES"
"C10","1","180 pF, 1%","https://www.digikey.com/en/products/detail/murata-electronics/GCM1885C2A181FA16D/7363158","$0.14","$0.078","YES"
"C11,C12,C26,C27,C28,C29,C35,C36,C39","9","1 uF, 0603","https://www.digikey.com/en/products/detail/murata-electronics/GRT188R61H105KE13D/5416752","$0.14","$0.078","YES"
"C13,C14,C34,C37,C38,C40","6","10 uF, 0805","https://www.digikey.com/en/products/detail/murata-electronics/GRM21BR61E106KA73K/4905532","$0.16","$0.090","YES"
"D1,D2,D8,D9,D10,D11","6","D_Schottky","https://www.digikey.com/en/products/detail/diodes-incorporated/1N5819HW-7-F/814970","$0.34","$0.220","YES"
"D3","1","3.3V, 1%","https://www.digikey.com/en/products/detail/diodes-incorporated/LM4040D33FTA/10295608","$0.36","$0.250","YES"
"D4,D5","2","D","https://www.digikey.com/en/products/detail/vishay-general-semiconductor-diodes-division/1N4448W-E3-08/4829905","$0.12","$0.066","YES"
"D6,D7","2","10V, 1%","https://www.digikey.com/en/products/detail/texas-instruments/LM4040D10IDBZR/1216503","$0.78","$0.558","YES"
"J1,J2","2","Conn_01x02_Socket","https://www.digikey.com/en/products/detail/sullins-connector-solutions/PPPC021LFBN-RC/810174","$0.24","$0.206","YES"
"J3","1","Conn_01x03_Pin","https://www.digikey.com/en/products/detail/sullins-connector-solutions/QPC02SXGN-RC/2618262","$0.10","$0.025","YES"
"J4,J5,J6,J7,J8,J9,J10","7","Conn_01x02_Pin","https://www.digikey.com/en/products/detail/sullins-connector-solutions/QPC02SXGN-RC/2618262","$0.10","$0.025","YES"
"J11,J14","2","Conn_01x24_Socket","https://www.digikey.com/en/products/detail/sullins-connector-solutions/PPPC241LFBN-RC/810196","$1.35","$1.144","YES"
"J12,J13","2","Conn_01x24_Pin","https://www.digikey.com/en/products/detail/sullins-connector-solutions/PRPC024SAAN-RC/2775230","$0.66","$0.563","YES"
"Q1","1","Q_PNP","https://www.digikey.com/en/products/detail/onsemi/MMBT2907ALT1G/919599","$0.15","$0.089","YES"
"Q2","1","Q_NPN","https://www.digikey.com/en/products/detail/onsemi/MMBT2222ALT1G/919593","$0.14","$0.088","YES"
"R1","1","4.7k, 1%","https://www.digikey.com/en/products/detail/vishay-dale/CRCW06034K70FKEA/1174744","$0.10","$0.030","YES"
"R2","1","100M, 5%","https://www.digikey.com/en/products/detail/vishay-dale/CRCW0805100MJPEAHR/3232302","$0.38","$0.213","YES"
"R3","1","330M, 5%","https://www.digikey.com/en/products/detail/vishay-dale/CRCW0805330MJPEAHR/5074908","$0.38","$0.213","YES"
"R4","1","1.3k, 1%","https://www.digikey.com/en/products/detail/vishay-dale/CRCW06031K30FKEA/1174680","$0.10","$0.030","YES"
"R5","1","10k, 10%","https://www.digikey.com/en/products/detail/bourns-inc/3296Y-1-103LF/1088085","$2.05","$1.732","YES"
"R6","1","200k, 10%","https://www.digikey.com/en/products/detail/bourns-inc/3296Y-1-204LF/1088092","$2.47","$2.078","YES"
"R7","1","47k, 10%","https://www.digikey.com/en/products/detail/bourns-inc/3296Y-1-473LF/2536018","$2.05","$1.732","YES"
"R8","1","100, 1%","https://www.digikey.com/en/products/detail/vishay-dale/CRCW0603100RFKEA/1174554","$0.10","$0.030","YES"
"R9","1","220, 1%","https://www.digikey.com/en/products/detail/vishay-dale/CRCW0603220RFKEA/1174590","$0.10","$0.030","YES"
"R10","1","523, 1%","https://www.digikey.com/en/products/detail/vishay-dale/CRCW0603523RFKEA/1174636","$0.10","$0.030","YES"
"R11","1","1k, 10%","https://www.digikey.com/en/products/detail/bourns-inc/3296Y-1-102LF/1088084","$2.05","$1.732","YES"
"R12,R14,R15","3","1k, 1%","https://www.digikey.com/en/products/detail/vishay-dale/CRCW06031K00FKEA/1174668","$0.10","$0.030","YES"
"R13","1","15k, 1%","https://www.digikey.com/en/products/detail/vishay-dale/CRCW060315K0FKEA/1174800","$0.10","$0.030","YES"
